address,latitude,longitude,city,postcode
138 rue la Fayette 75010 PARIS FR,48.878544,2.354509,Paris,75010
8 rue du Maréchal-Foch 64000 PAU FR,43.296844,-0.367122,Pau,64000
ZAC - 1  chemin du Desteil  - lieudit Saint Pierre 04200 PEIPIN FR,44.144263,5.957312,Peipin,04200
C.C. Leclerc Polygone 66000 PERPIGNAN FR,42.733631,2.889858,Perpignan,66000
436 rue Léonard de Vinci 84120 PERTUIS FR,43.682365,5.503133,Pertuis,84120
8 avenue Jean Jaurès 33600 PESSAC FR,44.806183,-0.63039,Pessac,33600
ZAC Les Rodettes - 3 rue Jean-Pierre Lagarde 34120 PÉZENAS FR,43.446821,3.411781,Pézenas,34120
ZAC du Plateau 22190 PLÉRIN FR,48.561115,-2.752247,Plérin,22190
Rue d'Argoat 56270 PLOEMEUR FR,47.733271,-3.429542,Ploemeur,56270
29 rue du Lac 56800 PLOËRMEL FR,47.937638,-2.404569,Ploërmel,56800
C.C. Carrefour - RN4 77340 PONTAULT-COMBAULT FR,48.801038,2.596033,Pontault-Combault,77340
C.C. E.Leclerc - l'Europe 44210 PORNIC FR,47.112799,-2.131808,Pornic,44210
C.C. Grand Sud 20137 PORTO-VECCHIO FR,41.591384,9.278307,Porto-Vecchio,20137
21 rue de la Cordonnerie 77160 PROVINS FR,48.560494,3.300594,Provins,77160
40 rue du 18 Juin 17138 PUILBOREAU FR,46.176176,-1.110725,Puilboreau,17138
C.C. Les 4 Temps 92800 PUTEAUX FR,48.880462,2.239515,Puteaux,92800
C.C. Carrefour 21800 QUETIGNY FR,47.312491,5.121192,Quetigny,21800
Route du Loc'h - Parc Commercial du Loc'h QUIMPER FR,48.017448,-4.085629,Quimper,29000
47 rue Saint Mathieu - place du 118ème QUIMPER FR,47.995222,-4.108824,Quimper,29000
Parking du C.C. Cora - Val d'Yerres 2 91480 QUINCY-SOUS-SÉNART FR,48.671423,2.546069,Quincy-sous-Sénart,91480
5 rue des États 35600 REDON FR,47.651126,-2.085041,Redon,35600
4 rue André Chaillot 51100 REIMS FR,49.287592,4.025886,Reims,51100
C.C. Les 3 Soleils - 18 rue d'Isly 35000 RENNES FR,48.10625,-1.677772,Rennes,35000
2 avenue de Castres 31250 REVEL FR,43.460689,2.005444,Revel,31250
C.C. Carrefour Market 42800 RIVE-DE-GIER FR,45.520887,4.619562,Rive-de-Gier,42800
34 avenue Charles de Gaulle 17300 ROCHEFORT FR,45.93552,-0.962333,Rochefort,17300
72 place Jean Jaurès 26100 ROMANS-SUR-ISÈRE FR,45.045953,5.050421,Romans-sur-Isère,26100
9 rue de la Boule d'Or 10100 ROMILLY-SUR-SEINE FR,48.518751,3.726529,Romilly-sur-Seine,10100
ZAC des Châtaigniers - Bât. L'Arc 83520 ROQUEBRUNE-SUR-ARGENS FR,43.466661,6.629361,Roquebrune-sur-Argens,83380
154 avenue du Général de Gaulle - C.C. Rosny2 93110 ROSNY-SOUS-BOIS FR,48.885559,2.47264,Rosny-sous-Bois,93110
3 rue Grand Pont 76000 ROUEN FR,49.438556,1.091925,Rouen,76000
Zone du Louradou 31180 ROUFFIAC-TOLOSAN FR,43.671412,1.512293,Rouffiac-Tolosan,31180
Family Village 72230 RUAUDIN FR,47.944462,0.264609,Ruaudin,72230
18 rue Hervet 92500 RUEIL-MALMAISON FR,48.87659,2.180045,Rueil-Malmaison,92500
19 rue Charles de Gaulle 74150 Rumilly FR,45.866956,5.944324,Rumilly,74150
49 rue de la Métairie Neuve 22200 SAINT-AGATHON FR,48.560895,-3.127979,Saint-Agathon,22200
240 rue Aristide Boucicaut - ZAC Ecoparc 33240 SAINT-ANDRÉ-DE-CUBZAC FR,45.012726,-0.428466,Saint-André-de-Cubzac,33240
22 place des Ursules 42000 SAINT-ÉTIENNE FR,45.435315,4.387582,Saint-Étienne,42000
Espace 23 - 396 boulevard de la Prairie 44150 SAINT-GÉRÉON FR,47.373657,-1.19082,Saint-Géréon,44150
281 route de Vannes 44800 SAINT-HERBLAIN FR,47.24486,-1.600939,Saint-Herblain,44800
24 boulevard Victor Hugo 64500 SAINT-JEAN-DE-LUZ FR,43.387928,-1.660161,Saint-Jean-de-Luz,64500
C.C. Cap 3000 06700 SAINT-LAURENT-DU-VAR FR,43.659608,7.197365,Saint-Laurent-du-Var,06700
16 place Général de Gaulle 50000 SAINT-LÔ FR,49.11572,-1.091926,Saint-Lô,50000
6 avenue des Pyrénées 31470 SAINT-LYS FR,43.511267,1.173456,Saint-Lys,31470
62 rue de la Pie 35400 SAINT-MALO FR,48.632848,-2.00788,Saint-Malo,35400
ZAC - 4 avenue de Romans 38160 SAINT-MARCELLIN FR,45.146738,5.310944,Saint-Marcellin,38160
