shop_name,address,latitude,longitude,city,postcode
Audioprothésiste TRETS Optical Center,ZA la Burlière 13530 Trets,43.450929,5.681108,Trets,13530
Audioprothésiste OLORON-SAINTE-MARIE Optical Center,4 rue Frédéric Ariès 64400 Oloron-sainte-marie,43.18123,-0.618126,Oloron-Sainte-Marie,64400
Audioprothésiste MONTAUBAN-AUSSONNE Optical Center,709 route du Nord 82000 Montauban,44.041604,1.383749,Montauban,82000
Audioprothésiste MUZILLAC Optical Center,rue des Silènes 56190 Muzillac,47.560106,-2.509133,Muzillac,56190
Audioprothésiste SAINT-GILLES-CROIX-DE-VIE Optical Center,"2, rue des Potiers 85800 Saint-gilles-croix-de-vie",46.69397,-1.913319,Saint-Gilles-Croix-de-Vie,85800
Audioprothésiste BLAYE Optical Center,7 avenue Mercure 33390 Saint-martin-lacaussade,45.130001,-0.642968,Saint-Martin-Lacaussade,33390
Audioprothésiste NOISY LE SEC Optical Center,215 rue de Paris 93130 Noisy le sec,48.901231,2.45665,Noisy-le-Sec,93130
Audioprothésiste BAGNOLET Optical Center,8 allée Simone Veil 93170 Bagnolet,48.867602,2.420945,Bagnolet,93170
Audioprothésiste SAVENAY Optical Center,ZAC de la Colleraye 44260 Savenay,47.370833,-1.939858,Savenay,44260
Audioprothésiste ROUFFIAC TOLOSAN Optical Center,4 impasse du Clos du Loup 31180 Rouffiac tolosan,43.668676,1.512583,Rouffiac-Tolosan,31180
Audioprothésiste LAVAUR Optical Center,25 allée Jean Jaurès 81500 Lavaur,43.69993,1.816028,Lavaur,81500
Audioprothésiste CAHORS Optical Center,457 avenue Anatole de Monzie 46000 Cahors,44.436767,1.442755,Cahors,46000
Audioprothésiste ROANNE Optical Center,32 rue Alsace Lorraine 42300 Roanne,46.036525,4.06803,Roanne,42300
Audioprothésiste - SAINT-JEAN-DE-VEDAS - Optical Center,99 avenue de la Condamine 34430 Saint-jean-de-vedas,43.570367,3.839026,Saint-Jean-de-Védas,34430
Audioprothésiste DAMMARIE-LES-LYS - MELUN-SUD Optical Center,"465, avenue André Ampère 77190 Dammarie les lys",48.50815,2.608366,Dammarie-les-Lys,77190
Audioprothésiste ECULLY - GRAND OUEST Optical Center,8 chemin de Pontet et Crases 69130 Ecully,45.785924,4.774474,Écully,69130
Audioprothésiste MONTÉVRAIN - LE CLOS DU CHÊNE Optical Center,ZAC Le Clos du Chêne 77144 Montévrain,48.872043,2.749599,Montévrain,77144
Audioprothésiste  COUILLY-PONT-AUX-DAMES Optical Center,69 Avenue de l'ensoleillée 77860 Couilly pont aux dames,48.870994,2.873146,Couilly-Pont-aux-Dames,77860
Audioprothésiste SÉBASTOPOL - BEAUBOURG - 4ÈME Optical Center,"20, Boulevard Sébastopol 75004 Paris",48.860264,2.349424,Paris,75004
Audioprothésiste ALBI - LE SEQUESTRE Optical Center,8 avenue des Marannes 81990 Le sequestre,43.915279,2.107285,Le Sequestre,81990
Audioprothésiste CASTRES Optical Center,ZAC de Mélou 81100 Castres,43.59032,2.215863,Castres,81100
Audioprothésiste SAINT-BRIEUC - LANGUEUX Optical Center,12 rue Ambroise Paré 22360 Langueux,48.498582,-2.731126,Langueux,22360
Audioprothésiste GARDANNE Optical Center,Rue du Petit Chemin d'Aix 13120 Gardanne,43.472163,5.465607,Gardanne,13120
Audioprothésiste PERONNE Optical Center,2 rue de Madrid 80200 Péronne,49.940975,2.930391,Péronne,80200
Audioprothésiste SAINT-JEAN-D'ILLAC Optical Center,55 Allée Jean Jacques Rousseau 33127 Saint-jean-d'illac,44.810261,-0.775212,Saint-Jean-d'Illac,33127
Audioprothésiste LE PIAN MEDOC Optical Center,372 route de Pauillac 33290 Le pian médoc,44.954598,-0.629258,Le Pian-Médoc,33290
Audioprothésiste AULNOY-LEZ-VALENCIENNES Optical Center,Parc Activités Jules Mousseron 59300 Aulnoy lez valenciennes,50.331301,3.512878,Aulnoy-lez-Valenciennes,59300
Audioprothésiste HENIN-BEAUMONT Optical Center,13 boulevard Olof Palme 62110 Hénin-beaumont,50.394767,2.977224,Hénin-Beaumont,62110
Audioprothésiste TIGNIEU-JAMEYZIEU Optical Center,Centre commercial Place du Dauphiné 38230 Tignieu jameyzieu,45.747516,5.184121,Tignieu-Jameyzieu,38230
Audioprothésiste VICHY Optical Center,Allée des Ailes 03200 Vichy,46.138099,3.41555,Vichy,03200
Audioprothésiste FEURS Optical Center,Zone du Forum - Route de St-Etienne 42110 Feurs,45.743593,4.222528,Feurs,42110
Audioprothésiste SAINT-MARD Optical Center,avenue de la Fontaine du Berger 77230 Saint-mard,49.032101,2.679564,Saint-Mard,77230
Audioprothésiste NOGENT SUR MARNE Optical Center,10 avenue Georges Clemenceau 94130 Nogent sur marne,48.835668,2.472088,Nogent-sur-Marne,94130
Audioprothésiste VARENNES-SUR-SEINE Optical Center,Route du Petit Fossard 77130 Varennes sur seine,48.367196,2.957299,Varennes-sur-Seine,77130
Audioprothésiste REMIREMONT Optical Center,8 rue Faubourg d'Alsace 88200 Remiremont,48.001836,6.613203,Remiremont,88200
Audioprothésiste  ALLONNES Optical Center,"1, rue de la B�rardi�re 72700 Allonnes",50.272494,1.667336,Rue,80120
Audioprothésiste FOUQUIERES-LES-BETHUNE Optical Center,Avenue du Prieure Saint Pry 62232 Fouquières-lès-béthune,50.513587,2.621658,Fouquières-lès-Béthune,62232
Audioprothésiste  CHAMBÉRY - CHAMNORD Optical Center,"142, rue Eugène Ducretet 73000 Chambéry",45.595345,5.896428,Chambéry,73000
Audioprothésiste NOGENT SUR OISE Optical Center,3 avenue de L'Europe 60180 Nogent sur oise,49.270365,2.482168,Nogent-sur-Oise,60180
Audioprothésiste THIERS Optical Center,"31, Avenue du Général de Gaulle 63300 Thiers",45.843283,3.511932,Thiers,63300
Audioprothésiste COLMAR Optical Center,3 route Ingersheim 68000 Colmar,48.081772,7.352748,Colmar,68000
Audioprothésiste TALANGE Optical Center,D55 - ZI du Triangle 57525 Talange,49.241151,6.173428,Talange,57525
Audioprothésiste COSNE SUR LOIRE Optical Center,Champ de la Dispute 58200 Cosne cours sur loire,47.437226,2.987854,Cosne-Cours-sur-Loire,58200
Audioprothésiste REIMS CORMONTREUIL Optical Center,10A rue des Laps 51350 Cormontreuil,49.215263,4.044554,Cormontreuil,51350
Audioprothésiste  GIEN Optical Center,rue Bosserie 45500 Gien,47.706132,2.636669,Gien,45500
Audioprothésiste AMILLY Optical Center,529 rue Saint Firmin des Vignes 45200 Amilly,47.97707,2.737045,Amilly,45200
Audioprothésiste  REIMS - CENTRE-VILLE Optical Center,"24, rue Colbert 51100 Reims",49.257146,4.03261,Reims,51100
Audioprothésiste BRIOUDE Optical Center,4 rue Abel Jonget 43100 Brioude,45.307081,3.374101,Brioude,43100
Audioprothésiste BLOIS Optical Center,64 rue Denis Papin 41000 Blois,47.587254,1.332732,Blois,41000
Audioprothésiste VENDOME Optical Center,133 Faubourg Chartrain 41100 Vendome,47.802993,1.070571,Vendôme,41100
Audioprothésiste  BAIN-DE-BRETAGNE Optical Center,Parc d'activités château Gaillard 35470 Bain de bretagne,47.857445,-1.688271,Bain-de-Bretagne,35470
Audioprothésiste MONTBRISON Optical Center,rue Maisonnette 42600 Montbrison,45.598092,4.086191,Montbrison,42600
Audioprothésiste PORNIC Optical Center,1 rue du traité de Lisbonne 44210 Pornic,47.127727,-2.123965,Pornic,44210
Audioprothésiste VAUXBUIN Optical Center,Les Portes de Soissons 02200 Vauxbuin,49.381166,3.333327,Soissons,02200
Audioprothésiste CARCASSONNE Optical Center,44 boulevard Denis Papin 11000 Carcassonne,43.210877,2.326534,Carcassonne,11000
Audioprothésiste MILLAU Optical Center,151 boulevard Georges Brassens 12100 Millau,44.117191,3.069959,Millau,12100
Audioprothésiste LIBOURNE Optical Center,"14,avenue du Général de Gaulle 33500 Libourne",44.907125,-0.231434,Libourne,33500
